feature,importance
Fwd Packet Length Mean,0.22421534945576704
Total Fwd Packets,0.13176582692455752
Total Length of Fwd Packets,0.1306827131045227
Bwd Packet Length Mean,0.08763024811022312
Packet Length Std,0.07754564954523546
Fwd IAT Mean,0.0704806291250305
Destination Port,0.06560333099848428
Packet Length Max,0.0629117975511718
Flow IAT Std,0.0469917738668631
Flow Duration,0.02258211660849299
Flow Bytes/s,0.018842186971958837
Bwd IAT Mean,0.015346682601589376
Packet Length Min,0.015052929682972258
Flow Packets/s,0.013028169867905082
ACK Flag Count,0.007572661607208563
Flow IAT Mean,0.007511117462007801
PSH Flag Count,0.0019665100944251616
FIN Flag Count,0.00027030642158448975
